time[sec],EARTH_pos_i(X)[m],EARTH_pos_i(Y)[m],EARTH_pos_i(Z)[m],EARTH_vel_i(X)[m/s],EARTH_vel_i(Y)[m/s],EARTH_vel_i(Z)[m/s],SUN_pos_i(X)[m],SUN_pos_i(Y)[m],SUN_pos_i(Z)[m],SUN_vel_i(X)[m/s],SUN_vel_i(Y)[m/s],SUN_vel_i(Z)[m/s],MOON_pos_i(X)[m],MOON_pos_i(Y)[m],MOON_pos_i(Z)[m],MOON_vel_i(X)[m/s],MOON_vel_i(Y)[m/s],MOON_vel_i(Z)[m/s],omega_true_b(X)[rad/s],omega_true_b(Y)[rad/s],omega_true_b(Z)[rad/s],quaternion_true_i2b(0)[-],quaternion_true_i2b(1)[-],quaternion_true_i2b(2)[-],quaternion_true_i2b(3)[-],torque_true_b(X)[Nm],torque_true_b(Y)[Nm],torque_true_b(Z)[Nm],h_total[Nms],k_sc[J],sat_position_i(X)[m],sat_position_i(Y)[m],sat_position_i(Z)[m],sat_velocity_i(X)[m/s],sat_velocity_i(Y)[m/s],sat_velocity_i(Z)[m/s],sat_velocity_b(X)[m/s],sat_velocity_b(Y)[m/s],sat_velocity_b(Z)[m/s],sat_acc_i_i(X)[m/s^2],sat_acc_i_i(Y)[m/s^2],sat_acc_i_i(Z)[m/s^2],lat[rad],lon[rad],alt[m],mag_i(X)[nT],mag_i(Y)[nT],mag_i(Z)[nT],mag_b(X)[nT],mag_b(Y)[nT],mag_b(Z)[nT],sr_pressure[N/m^2],shadow coefficient,airdensity[kg/m^3],EARTH_pos_b(X)[m],EARTH_pos_b(Y)[m],EARTH_pos_b(Z)[m],EARTH_vel_b(X)[m/s],EARTH_vel_b(Y)[m/s],EARTH_vel_b(Z)[m/s],SUN_pos_b(X)[m],SUN_pos_b(Y)[m],SUN_pos_b(Z)[m],SUN_vel_b(X)[m/s],SUN_vel_b(Y)[m/s],SUN_vel_b(Z)[m/s],MOON_pos_b(X)[m],MOON_pos_b(Y)[m],MOON_pos_b(Z)[m],MOON_vel_b(X)[m/s],MOON_vel_b(Y)[m/s],MOON_vel_b(Z)[m/s],ggtorque_b(X)[Nm],ggtorque_b(Y)[Nm],ggtorque_b(Z)[Nm],srp_torque_b(X)[Nm],srp_torque_b(Y)[Nm],srp_torque_b(Z)[Nm],srp_force_b(X)[N],srp_force_b(Y)[N],srp_force_b(Z)[N],airdrag_torque_b(X)[Nm],airdrag_torque_b(Y)[Nm],airdrag_torque_b(Z)[Nm],airdrag_force_b(X)[N],airdrag_force_b(Y)[N],airdrag_force_b(Z)[N],rmm_b(X)[Am^2],rmm_b(Y)[Am^2],rmm_b(Z)[Am^2],mag_dist_torque_b(X)[Nm],mag_dist_torque_b(Y)[Nm],mag_dist_torque_b(Z)[Nm],acc_thirdbody_i(X)[m/s2],acc_thirdbody_i(Y)[m/s2],acc_thirdbody_i(Z)[m/s2],a_geop_ecef(X)[m/s2],a_geop_ecef(Y)[m/s2],a_geop_ecef(Z)[m/s2],
0,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84214e+07,-5.56389e+07,143.728,887.073,356.6,0,0,0,0,0,0,1,0,-0,0,0,0,-2111769.772374508,-5360353.225433829,3596181.649781079,4200.434474,-4637.540129,-4429.236126,4200.434474,-4637.540129,-4429.236126,0,0,0,0.560853,5.72264,419453,0,0,0,0,0,0,4.55649e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0,0,0,-0,-0,-0,0,0,0,
0.1,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84213e+07,-5.56388e+07,143.728,887.073,356.6,-9.79711e-07,7.30516e-07,2.49015e-07,-2.44928e-08,1.82629e-08,6.22538e-09,1,-9.79711e-07,7.30516e-07,2.49015e-07,1.2472e-07,7.77748e-14,-2111349.632802087,-5360817.036907832,3595738.617453132,4200.703048,-4636.858302,-4429.694813,4200.703152,-4636.858138,-4429.694887,-2.290190025e-06,2.70990982e-06,2.480792054e-06,0.560776,5.72273,419453,8017.65,31682.3,6458.73,8017.65,31682.3,6458.73,4.71293e-06,1,2.67144e-12,2.11177e+06,5.36035e+06,-3.59618e+06,-4200.43,4637.54,4429.24,2.61775e+10,-1.32802e+11,-5.75759e+10,25601.2,9614.19,6586.18,4.00794e+08,-3.3061e+07,-5.9235e+07,-4056.71,5524.61,4785.84,0,0,0,1.09115e-08,1.00669e-08,-2.09784e-08,-3.04801e-07,1.79304e-06,7.01893e-07,2.1165e-08,6.57871e-07,-6.79036e-07,-3.17579e-05,3.61457e-05,3.40292e-05,0.0400568,0.0399199,0.0400734,-1.01179e-06,6.25787e-08,9.49029e-07,-0,-0,-0,0,0,0,
0.2,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84212e+07,-5.56388e+07,143.728,887.073,356.6,-1.954e-06,1.45283e-06,4.98327e-07,-9.78355e-08,7.28465e-08,2.49089e-08,1,-9.74287e-07,7.22313e-07,2.49312e-07,2.48539e-07,3.08857e-13,-2110929.635387711,-5361280.593654979,3595295.71748848,4200.971461,-4636.176691,-4430.15326,4200.971876,-4636.176033,-4430.153555,-2.290406663e-06,2.709441814e-06,2.481151793e-06,0.560699,5.72282,419452,7887.79,31661.2,6550.18,7887.79,31661.2,6550.18,4.71293e-06,1,2.67146e-12,2.11135e+06,5.36082e+06,-3.59574e+06,-4196.74,4639.86,4436.49,2.61776e+10,-1.32802e+11,-5.75759e+10,34591.3,59502.7,-104398,4.00794e+08,-3.30604e+07,-5.92345e+07,-4021.94,5482.16,5046.69,0,0,-1.32437e-23,1.09115e-08,1.00669e-08,-2.09784e-08,-3.04801e-07,1.79304e-06,7.01893e-07,2.10491e-08,6.57951e-07,-6.79e-07,-3.17609e-05,3.61391e-05,3.40342e-05,0.0399334,0.0399412,0.0400449,-1.00625e-06,5.42949e-08,9.49291e-07,-0,-0,-0,0,0,0,
0.3,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84212e+07,-5.56388e+07,143.728,887.073,356.6,-2.92881e-06,2.17348e-06,7.50765e-07,-2.19906e-07,1.63504e-07,5.61363e-08,1,-9.74811e-07,7.20647e-07,2.52438e-07,3.72365e-07,6.93278e-13,-2110509.442107749,-5361744.268756464,3594852.593431002,4201.239929,-4635.494746,-4430.611835,4201.240857,-4635.493269,-4430.6125,-2.290623198e-06,2.708973895e-06,2.481511367e-06,0.560621,5.72291,419452,7908.62,31734.2,6608.36,7908.62,31734.2,6608.37,4.71293e-06,1,2.67149e-12,2.11093e+06,5.36128e+06,-3.59529e+06,-4193.08,4642.15,4443.7,2.61776e+10,-1.32802e+11,-5.7576e+10,43069.8,109071,-214876,4.00794e+08,-3.30599e+07,-5.9234e+07,-3987.66,5439.27,5304.44,-2.64873e-23,0,0,1.09115e-08,1.00669e-08,-2.09784e-08,-3.04801e-07,1.79304e-06,7.01893e-07,2.09332e-08,6.58032e-07,-6.78965e-07,-3.17639e-05,3.61326e-05,3.40393e-05,0.0399792,0.0399978,0.0400506,-1.00666e-06,5.2548e-08,9.52382e-07,-0,-0,-0,0,0,0,
0.4,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.8421e+07,-5.56387e+07,143.727,887.073,356.6,-3.90495e-06,2.90475e-06,9.95925e-07,-3.9075e-07,2.9046e-07,9.98035e-08,1,-9.76137e-07,7.31275e-07,2.45159e-07,4.9677e-07,1.2339e-12,-2110089.391024895,-5362207.689166662,3594409.601792156,4201.508235,-4634.813017,-4431.070169,4201.509884,-4634.810393,-4431.07135,-2.290839806e-06,2.708505687e-06,2.481871065e-06,0.560544,5.723,419451,8039.13,31642.2,6460.78,8039.13,31642.1,6460.8,4.71293e-06,1,2.67152e-12,2.11051e+06,5.36175e+06,-3.59485e+06,-4189.4,4644.44,4450.9,2.61776e+10,-1.32802e+11,-5.7576e+10,51037.3,158588,-325468,4.00793e+08,-3.30593e+07,-5.92334e+07,-3953.59,5395.15,5561.5,0,0,-1.32436e-23,1.09115e-08,1.00669e-08,-2.09784e-08,-3.04801e-07,1.79304e-06,7.01894e-07,2.08172e-08,6.58113e-07,-6.7893e-07,-3.1767e-05,3.6126e-05,3.40443e-05,0.0400214,0.0399666,0.0400125,-1.00787e-06,6.30953e-08,9.45068e-07,-0,-0,-0,0,0,0,
0.5,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84209e+07,-5.56387e+07,143.727,887.073,356.6,-4.87978e-06,3.63169e-06,1.24176e-06,-6.10368e-07,4.53871e-07,1.55746e-07,1,-9.74835e-07,7.2694e-07,2.45834e-07,6.20833e-07,1.92717e-12,-2109669.144065541,-5362671.227864522,3593966.386034884,4201.776595,-4634.130954,-4431.52863,4201.779175,-4634.126853,-4431.530473,-2.291056309e-06,2.708037565e-06,2.482230599e-06,0.560467,5.72309,419450,8000.72,31709.8,6547.03,8000.72,31709.8,6547.06,4.71293e-06,1,2.67154e-12,2.11009e+06,5.36221e+06,-3.5944e+06,-4185.73,4646.74,4458.14,2.61776e+10,-1.32802e+11,-5.7576e+10,60583.4,208372,-435957,4.00793e+08,-3.30588e+07,-5.92329e+07,-3918.65,5354.02,5822.78,2.64873e-23,-1.32436e-23,0,1.09115e-08,1.0067e-08,-2.09784e-08,-3.04801e-07,1.79304e-06,7.01894e-07,2.07012e-08,6.58193e-07,-6.78895e-07,-3.177e-05,3.61195e-05,3.40493e-05,0.0399122,0.0399836,0.0399947,-1.00645e-06,5.86794e-08,9.45708e-07,-0,-0,-0,0,0,0,
0.6,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84209e+07,-5.56386e+07,143.727,887.073,356.6,-5.85265e-06,4.35746e-06,1.48596e-06,-8.78679e-07,6.536e-07,2.23939e-07,1,-9.72874e-07,7.25765e-07,2.44201e-07,7.44641e-07,2.77245e-12,-2109249.039328776,-5363134.511921652,3593523.302737266,4202.044795,-4633.449107,-4431.986851,4202.048513,-4633.4432,-4431.989501,-2.291272883e-06,2.707569153e-06,2.482590257e-06,0.56039,5.72318,419450,7932.3,31609.9,6516.44,7932.3,31609.9,6516.49,4.71293e-06,1,2.67157e-12,2.10967e+06,5.36267e+06,-3.59396e+06,-4182.07,4649.04,4465.36,2.61776e+10,-1.32802e+11,-5.75761e+10,69790.3,258063,-546387,4.00792e+08,-3.30582e+07,-5.92323e+07,-3883.99,5312.55,6082.37,0,1.32436e-23,1.32436e-23,1.09114e-08,1.0067e-08,-2.09784e-08,-3.04801e-07,1.79304e-06,7.01895e-07,2.05851e-08,6.58274e-07,-6.78859e-07,-3.1773e-05,3.61129e-05,3.40544e-05,0.0399185,0.0400615,0.0400327,-1.00437e-06,5.74235e-08,9.44039e-07,-0,-0,-0,0,0,0,
0.7,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84208e+07,-5.56386e+07,143.727,887.073,356.6,-6.82704e-06,5.08843e-06,1.72785e-06,-1.19567e-06,8.89747e-07,3.04284e-07,1,-9.7439e-07,7.30971e-07,2.41894e-07,8.68827e-07,3.77431e-12,-2108828.738708,-5363597.914196024,3593079.995299222,4202.313049,-4632.766926,-4432.4452,4202.318117,-4632.758884,-4432.448801,-2.291489354e-06,2.707100828e-06,2.482949751e-06,0.560313,5.72327,419449,8081.07,31641.4,6529.19,8081.08,31641.3,6529.26,4.71293e-06,1,2.6716e-12,2.10926e+06,5.36314e+06,-3.59351e+06,-4178.42,4651.34,4472.57,2.61776e+10,-1.32802e+11,-5.75761e+10,79146.6,307684,-656587,4.00792e+08,-3.30577e+07,-5.92317e+07,-3849.35,5271.62,6341.55,0,0,0,1.09114e-08,1.0067e-08,-2.09784e-08,-3.04801e-07,1.79304e-06,7.01896e-07,2.0469e-08,6.58355e-07,-6.78824e-07,-3.17761e-05,3.61063e-05,3.40594e-05,0.0399686,0.0399655,0.0400336,-1.00577e-06,6.2549e-08,9.41697e-07,-0,-0,-0,0,0,0,
0.8,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84207e+07,-5.56386e+07,143.726,887.073,356.6,-7.79902e-06,5.81493e-06,1.97283e-06,-1.56132e-06,1.16233e-06,3.96801e-07,1,-9.71976e-07,7.26503e-07,2.44975e-07,9.92624e-07,4.92651e-12,-2108408.580345475,-5364061.061869013,3592636.820372578,4202.581141,-4632.08496,-4432.903308,4202.58777,-4632.074453,-4432.908003,-2.291705897e-06,2.706632213e-06,2.483309368e-06,0.560235,5.72336,419449,7996.73,31626.4,6550.18,7996.74,31626.3,6550.27,4.71293e-06,1,2.67163e-12,2.10884e+06,5.36361e+06,-3.59306e+06,-4174.77,4653.65,4479.8,2.61776e+10,-1.32802e+11,-5.75762e+10,89109.2,357454,-766852,4.00792e+08,-3.30572e+07,-5.9231e+07,-3814.32,5231.69,6602.77,0,0,0,1.09114e-08,1.0067e-08,-2.09784e-08,-3.04802e-07,1.79304e-06,7.01897e-07,2.03528e-08,6.58436e-07,-6.78789e-07,-3.17791e-05,3.60997e-05,3.40645e-05,0.039986,0.0399999,0.0400062,-1.00324e-06,5.80003e-08,9.44742e-07,-0,-0,-0,0,0,0,
0.9,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84206e+07,-5.56385e+07,143.726,887.073,356.6,-8.76841e-06,6.53987e-06,2.21813e-06,-1.97551e-06,1.4712e-06,5.01575e-07,1,-9.6939e-07,7.24937e-07,2.45305e-07,1.11613e-06,6.22875e-12,-2107988.226081239,-5364524.327700046,3592193.421272765,4202.849288,-4631.402662,-4433.361544,4202.857687,-4631.389361,-4433.367476,-2.291922337e-06,2.706163684e-06,2.483668821e-06,0.560158,5.72345,419448,8072.37,31667.6,6657.98,8072.38,31667.6,6658.1,4.71293e-06,1,2.67165e-12,2.10842e+06,5.36407e+06,-3.59262e+06,-4171.11,4655.93,4487,2.61776e+10,-1.32802e+11,-5.75763e+10,98405.7,407003,-876913,4.00791e+08,-3.30567e+07,-5.92304e+07,-3779.66,5190.39,6862.27,0,0,0,1.09114e-08,1.0067e-08,-2.09784e-08,-3.04802e-07,1.79304e-06,7.01898e-07,2.02366e-08,6.58517e-07,-6.78753e-07,-3.17822e-05,3.60932e-05,3.40695e-05,0.0400428,0.0400156,0.0400083,-1.00054e-06,5.63532e-08,9.45037e-07,-0,-0,-0,0,0,0,
