time[sec],EARTH_pos_i(X)[m],EARTH_pos_i(Y)[m],EARTH_pos_i(Z)[m],EARTH_vel_i(X)[m/s],EARTH_vel_i(Y)[m/s],EARTH_vel_i(Z)[m/s],SUN_pos_i(X)[m],SUN_pos_i(Y)[m],SUN_pos_i(Z)[m],SUN_vel_i(X)[m/s],SUN_vel_i(Y)[m/s],SUN_vel_i(Z)[m/s],MOON_pos_i(X)[m],MOON_pos_i(Y)[m],MOON_pos_i(Z)[m],MOON_vel_i(X)[m/s],MOON_vel_i(Y)[m/s],MOON_vel_i(Z)[m/s],omega_true_b(X)[rad/s],omega_true_b(Y)[rad/s],omega_true_b(Z)[rad/s],quaternion_true_i2b(0)[-],quaternion_true_i2b(1)[-],quaternion_true_i2b(2)[-],quaternion_true_i2b(3)[-],torque_true_b(X)[Nm],torque_true_b(Y)[Nm],torque_true_b(Z)[Nm],h_total[Nms],k_sc[J],sat_position_i(X)[m],sat_position_i(Y)[m],sat_position_i(Z)[m],sat_velocity_i(X)[m/s],sat_velocity_i(Y)[m/s],sat_velocity_i(Z)[m/s],sat_velocity_b(X)[m/s],sat_velocity_b(Y)[m/s],sat_velocity_b(Z)[m/s],sat_acc_i_i(X)[m/s^2],sat_acc_i_i(Y)[m/s^2],sat_acc_i_i(Z)[m/s^2],lat[rad],lon[rad],alt[m],mag_i(X)[nT],mag_i(Y)[nT],mag_i(Z)[nT],mag_b(X)[nT],mag_b(Y)[nT],mag_b(Z)[nT],sr_pressure[N/m^2],shadow coefficient,airdensity[kg/m^3],EARTH_pos_b(X)[m],EARTH_pos_b(Y)[m],EARTH_pos_b(Z)[m],EARTH_vel_b(X)[m/s],EARTH_vel_b(Y)[m/s],EARTH_vel_b(Z)[m/s],SUN_pos_b(X)[m],SUN_pos_b(Y)[m],SUN_pos_b(Z)[m],SUN_vel_b(X)[m/s],SUN_vel_b(Y)[m/s],SUN_vel_b(Z)[m/s],MOON_pos_b(X)[m],MOON_pos_b(Y)[m],MOON_pos_b(Z)[m],MOON_vel_b(X)[m/s],MOON_vel_b(Y)[m/s],MOON_vel_b(Z)[m/s],ggtorque_b(X)[Nm],ggtorque_b(Y)[Nm],ggtorque_b(Z)[Nm],srp_torque_b(X)[Nm],srp_torque_b(Y)[Nm],srp_torque_b(Z)[Nm],srp_force_b(X)[N],srp_force_b(Y)[N],srp_force_b(Z)[N],airdrag_torque_b(X)[Nm],airdrag_torque_b(Y)[Nm],airdrag_torque_b(Z)[Nm],airdrag_force_b(X)[N],airdrag_force_b(Y)[N],airdrag_force_b(Z)[N],rmm_b(X)[Am^2],rmm_b(Y)[Am^2],rmm_b(Z)[Am^2],mag_dist_torque_b(X)[Nm],mag_dist_torque_b(Y)[Nm],mag_dist_torque_b(Z)[Nm],acc_thirdbody_i(X)[m/s2],acc_thirdbody_i(Y)[m/s2],acc_thirdbody_i(Z)[m/s2],a_geop_ecef(X)[m/s2],a_geop_ecef(Y)[m/s2],a_geop_ecef(Z)[m/s2],gyro_omega1_c(X)[rad/s],gyro_omega1_c(Y)[rad/s],gyro_omega1_c(Z)[rad/s],gyro_omega2_c(X)[rad/s],gyro_omega2_c(Y)[rad/s],gyro_omega2_c(Z)[rad/s],clock_sensor[sec],
0,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84214e+07,-5.56389e+07,143.728,887.073,356.6,1,0,0,0,0,0,1,0,-0,0,0.1,0,-2111769.772374508,-5360353.225433829,3596181.649781079,4200.434474,-4637.540129,-4429.236126,4200.434474,-4637.540129,-4429.236126,0,0,0,0.560853,5.72264,419453,0,0,0,0,0,0,4.55649e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0,0,0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,
0.1,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84213e+07,-5.56388e+07,143.728,887.073,356.6,0.999999,7.25887e-07,2.48774e-07,0.0499791,1.8036e-08,6.51914e-09,0.99875,-9.75892e-07,7.25887e-07,2.48774e-07,0.0999999,0.0499999,-2111349.632802087,-5360817.036907832,3595738.617453132,4200.703048,-4636.858302,-4429.694813,4200.703136,-5055.924747,-3944.651476,-2.290190025e-06,2.70990982e-06,2.480792054e-06,0.560776,5.72273,419453,7888.41,31655.5,6447,7888.41,31655.5,6447,4.71293e-06,1,2.67144e-12,2.11177e+06,5.36035e+06,-3.59618e+06,-4200.43,-3.59154e+06,-5.35592e+06,2.61775e+10,-1.32802e+11,-5.75759e+10,25601.2,-5.75759e+10,1.32802e+11,4.00794e+08,-3.3061e+07,-5.9235e+07,-4056.71,-5.92295e+07,3.30658e+07,0,0,0,1.09115e-08,1.00669e-08,-2.09784e-08,-3.04801e-07,1.79304e-06,7.01893e-07,2.1165e-08,6.57871e-07,-6.79036e-07,-3.17579e-05,3.61457e-05,3.40292e-05,0.0399303,0.039961,0.0399803,-1.00797e-06,5.79497e-08,9.48788e-07,-0,-0,-0,0,0,0,1.00148,0,0,1,0.000626569,0,0.105,
0.2,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84212e+07,-5.56388e+07,143.728,887.073,356.6,0.999998,1.52934e-06,4.73714e-07,0.0998333,7.36134e-08,2.6788e-08,0.995004,-1.02922e-06,8.03453e-07,2.2494e-07,0.0999998,0.0499998,-2110929.635387711,-5361280.593654979,3595295.71748848,4200.971461,-4636.176691,-4430.15326,4200.971771,-5423.896893,-3420.77946,-2.281750189e-06,2.789227517e-06,2.411240463e-06,0.560699,5.72282,419452,8059.84,31738.1,6588.31,8059.84,32237.2,3386.88,4.71293e-06,1,2.67146e-12,2.11135e+06,4.97506e+06,-4.11296e+06,-4196.62,-4.1079e+06,-4.97111e+06,2.61776e+10,-1.37887e+11,-4.40302e+10,28805.4,-4.40302e+10,1.37886e+11,4.00794e+08,-3.88088e+07,-5.56381e+07,-4024.25,-5.56321e+07,3.88133e+07,0,0,0,1.31121e-08,8.03996e-09,-2.11521e-08,-2.94669e-07,1.82054e-06,5.09326e-07,1.12227e-07,6.08308e-07,-7.20535e-07,-3.16498e-05,4.04037e-05,2.9181e-05,0.0399978,0.0400493,0.0400222,-1.15456e-06,1.87104e-07,9.66627e-07,-0,-0,-0,0,0,0,1.00148,0,0,1,0.000626569,0,0.105,
0.3,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84212e+07,-5.56388e+07,143.728,887.073,356.6,0.999997,2.40247e-06,6.68551e-07,0.149438,1.69657e-07,6.16403e-08,0.988771,-1.06702e-06,8.73127e-07,1.94837e-07,0.0999997,0.0499997,-2110509.442107749,-5361744.268756464,3594852.593431002,4201.239929,-4635.494746,-4430.611835,4201.240533,-5737.791607,-2862.843894,-2.26236769e-06,2.865040395e-06,2.363530718e-06,0.560621,5.72291,419452,7966.53,31582.8,6559.98,7966.53,32256.5,154.699,4.71293e-06,1,2.67149e-12,2.11093e+06,4.54014e+06,-4.58875e+06,-4192.42,-4.58332e+06,-4.5367e+06,2.61776e+10,-1.41593e+11,-3.00446e+10,28084.2,-3.00445e+10,1.41593e+11,4.00794e+08,-4.41689e+07,-5.14853e+07,-3991.01,-5.14789e+07,4.4173e+07,0,0,0,1.48596e-08,6.08458e-09,-2.09441e-08,-2.82361e-07,1.81205e-06,3.26097e-07,1.99378e-07,5.55258e-07,-7.54636e-07,-3.13908e-05,4.40728e-05,2.4135e-05,0.0399663,0.0400118,0.0399129,-1.28126e-06,3.11784e-07,9.70417e-07,-0,-0,-0,0,0,0,1.00148,0,0,1,0.000626569,0,0.105,
0.4,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.8421e+07,-5.56387e+07,143.727,887.073,356.6,0.999996,3.3536e-06,8.32929e-07,0.198669,3.09018e-07,1.12061e-07,0.980067,-1.11411e-06,9.5113e-07,1.64378e-07,0.0999996,0.0499996,-2110089.391024895,-5362207.689166662,3594409.601792156,4201.508235,-4634.813017,-4431.070169,4201.509134,-5994.484037,-2276.406843,-2.232236564e-06,2.923820751e-06,2.341792236e-06,0.560544,5.723,419451,8033.38,31659.4,6502.81,8033.39,32167.1,-3143.61,4.71293e-06,1,2.67152e-12,2.11051e+06,4.05992e+06,-5.0188e+06,-4187.94,-5.01304e+06,-4.05704e+06,2.61776e+10,-1.43885e+11,-1.57588e+10,23093.2,-1.57587e+10,1.43885e+11,4.00793e+08,-4.90874e+07,-4.68182e+07,-3958.01,-4.68114e+07,4.90912e+07,2.64873e-23,0,0,1.60972e-08,4.26473e-09,-2.03619e-08,-2.67999e-07,1.76819e-06,1.58473e-07,2.79601e-07,5.0049e-07,-7.8009e-07,-3.09833e-05,4.70257e-05,1.90657e-05,0.0399824,0.0399941,0.0399192,-1.40981e-06,4.46375e-07,9.6483e-07,-0,-0,-0,0,0,0,1.00148,0,0,1,0.000626569,0,0.105,
0.5,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84209e+07,-5.56387e+07,143.727,887.073,356.6,0.999995,4.36654e-06,9.70696e-07,0.247403,4.94215e-07,1.7938e-07,0.968913,-1.14812e-06,1.01294e-06,1.37768e-07,0.0999995,0.0499995,-2109669.144065541,-5362671.227864522,3593966.386034884,4201.776595,-4634.130954,-4431.52863,4201.777702,-6191.418796,-1667.315114,-2.19165759e-06,2.951702128e-06,2.345958708e-06,0.560467,5.72309,419450,7932.03,31619.8,6661.35,7932.03,31717.8,-6177.78,4.71293e-06,1,2.67154e-12,2.11009e+06,3.5392e+06,-5.39881e+06,-4183.21,-5.39279e+06,-3.5369e+06,2.61775e+10,-1.4474e+11,-1.31552e+09,13828.9,-1.3155e+09,1.44739e+11,4.00793e+08,-5.35156e+07,-4.16834e+07,-3925.51,-4.16763e+07,5.35189e+07,0,0,0,1.6788e-08,2.63808e-09,-1.94261e-08,-2.51728e-07,1.69088e-06,1.20803e-08,3.50142e-07,4.4578e-07,-7.95922e-07,-3.04315e-05,4.91607e-05,1.41465e-05,0.0400611,0.0400319,0.0399693,-1.51505e-06,5.64527e-07,9.53116e-07,-0,-0,-0,0,0,0,1.00148,0,0,1,0.000626569,0,0.105,
0.6,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84209e+07,-5.56386e+07,143.727,887.073,356.6,0.999993,5.45393e-06,1.0657e-06,0.295519,7.27603e-07,2.64906e-07,0.955337,-1.18403e-06,1.08739e-06,9.49995e-08,0.0999993,0.0499993,-2109249.039328776,-5363134.511921652,3593523.302737266,4202.044795,-4633.449107,-4431.986851,4202.045924,-6326.636943,-1041.639844,-2.143283997e-06,2.947411089e-06,2.376362072e-06,0.56039,5.72318,419450,7960.74,31623.7,6587.71,7960.75,30910.8,-9379.91,4.71293e-06,1,2.67157e-12,2.10968e+06,2.98315e+06,-5.725e+06,-4178.35,-5.71878e+06,-2.98146e+06,2.61775e+10,-1.44148e+11,1.31409e+10,-1393.28,1.31408e+10,1.44147e+11,4.00792e+08,-5.74089e+07,-3.61322e+07,-3895.3,-3.61248e+07,5.74118e+07,0,0,-6.62182e-24,1.88668e-08,1.35047e-09,-2.02173e-08,-2.65179e-07,1.75655e-06,-1.30132e-07,4.08622e-07,3.92844e-07,-8.01466e-07,-2.97408e-05,5.04058e-05,9.54362e-06,0.0399656,0.040032,0.0399867,-1.61152e-06,6.93198e-07,9.16683e-07,-0,-0,-0,0,0,0,1.00148,0,0,1,0.000626569,0,0.105,
0.7,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84208e+07,-5.56386e+07,143.727,887.073,356.6,0.999992,6.6094e-06,1.12578e-06,0.342897,1.01158e-06,3.70067e-07,0.939373,-1.2166e-06,1.15547e-06,6.00804e-08,0.0999992,0.0499992,-2108828.738708,-5363597.914196024,3593079.995299222,4202.313049,-4632.766926,-4432.4452,4202.313913,-6398.794138,-405.6182454,-2.085575473e-06,2.890367473e-06,2.420097508e-06,0.560313,5.72327,419449,7944.34,31636.5,6673.45,7944.36,29878.8,-12355.4,4.71293e-06,1,2.6716e-12,2.10926e+06,2.39734e+06,-5.99411e+06,-4173.48,-5.98774e+06,-2.39627e+06,2.61775e+10,-1.42116e+11,2.74659e+10,-19642.6,2.74658e+10,1.42115e+11,4.00792e+08,-6.07286e+07,-3.02201e+07,-3866.74,-3.02124e+07,6.07311e+07,-1.32436e-23,0,0,2.10096e-08,-1.43931e-10,-2.08657e-08,-2.79899e-07,1.80667e-06,-2.94292e-07,4.5312e-07,3.43277e-07,-7.96397e-07,-2.89182e-05,5.07215e-05,5.4095e-06,0.0400001,0.0400049,0.0400435,-1.69073e-06,8.12336e-07,8.77343e-07,-0,-0,-0,0,0,0,1.00148,0,0,1,0.000626569,0,0.105,
0.8,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84207e+07,-5.56386e+07,143.726,887.073,356.6,0.999991,7.84153e-06,1.14559e-06,0.389417,1.34839e-06,4.96674e-07,0.921062,-1.25034e-06,1.23213e-06,1.98158e-08,0.0999991,0.0499991,-2108408.580345475,-5364061.061869013,3592636.820372578,4202.581141,-4632.08496,-4432.903308,4202.581335,-6407.175095,234.4109586,-2.018883039e-06,2.772166995e-06,2.465881346e-06,0.560235,5.72336,419449,7983.46,31735,6586.37,7983.49,28515.4,-15406.6,4.71293e-06,1,2.67163e-12,2.10884e+06,1.7876e+06,-6.20345e+06,-4168.69,-6.19701e+06,-1.78716e+06,2.61775e+10,-1.38664e+11,4.15166e+10,-42020.2,4.15163e+10,1.38663e+11,4.00792e+08,-6.34415e+07,-2.40062e+07,-3841.03,-2.39982e+07,6.34434e+07,0,1.32436e-23,0,2.29681e-08,-1.82545e-09,-2.11426e-08,-2.92589e-07,1.82167e-06,-4.75134e-07,4.8225e-07,2.98488e-07,-7.80738e-07,-2.79718e-05,5.0102e-05,1.87704e-06,0.0400164,0.0400058,0.0399506,-1.75556e-06,9.35462e-07,8.21696e-07,-0,-0,-0,0,0,0,1.00148,0,0,1,0.000626569,0,0.105,
0.9,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84206e+07,-5.56385e+07,143.726,887.073,356.6,0.99999,9.14559e-06,1.10041e-06,0.434964,1.74047e-06,6.46174e-07,0.900448,-1.2617e-06,1.30406e-06,-4.51771e-08,0.099999,0.049999,-2107988.226081239,-5364524.327700046,3592193.421272765,4202.849288,-4631.402662,-4433.361544,4202.84829,-6351.699818,872.0682348,-2.000270342e-06,2.654731191e-06,2.557622789e-06,0.560158,5.72345,419448,7935.58,31610.1,6562.5,7935.63,26730.7,-18103.5,4.71293e-06,1,2.67165e-12,2.10843e+06,1.16e+06,-6.35095e+06,-4164.08,-6.34448e+06,-1.16021e+06,2.61774e+10,-1.33827e+11,5.51524e+10,-66690.2,5.5152e+10,1.33826e+11,4.00791e+08,-6.55205e+07,-1.75525e+07,-3817.98,-1.75443e+07,6.55218e+07,0,0,0,2.46719e-08,-3.63366e-09,-2.10383e-08,-3.03124e-07,1.8007e-06,-6.6649e-07,5.08275e-07,2.66526e-07,-7.74801e-07,-2.77007e-05,4.97794e-05,-1.04806e-06,0.0399649,0.0400255,0.0400307,-1.79465e-06,1.04117e-06,7.50662e-07,-0,-0,-0,0,0,0,1.00148,0,0,1,0.000626569,0,0.105,
