time[sec],EARTH_pos_i(X)[m],EARTH_pos_i(Y)[m],EARTH_pos_i(Z)[m],EARTH_vel_i(X)[m/s],EARTH_vel_i(Y)[m/s],EARTH_vel_i(Z)[m/s],SUN_pos_i(X)[m],SUN_pos_i(Y)[m],SUN_pos_i(Z)[m],SUN_vel_i(X)[m/s],SUN_vel_i(Y)[m/s],SUN_vel_i(Z)[m/s],MOON_pos_i(X)[m],MOON_pos_i(Y)[m],MOON_pos_i(Z)[m],MOON_vel_i(X)[m/s],MOON_vel_i(Y)[m/s],MOON_vel_i(Z)[m/s],omega_true_b(X)[rad/s],omega_true_b(Y)[rad/s],omega_true_b(Z)[rad/s],quaternion_true_i2b(0)[-],quaternion_true_i2b(1)[-],quaternion_true_i2b(2)[-],quaternion_true_i2b(3)[-],torque_true_b(X)[Nm],torque_true_b(Y)[Nm],torque_true_b(Z)[Nm],h_total[Nms],k_sc[J],sat_position_i(X)[m],sat_position_i(Y)[m],sat_position_i(Z)[m],sat_velocity_i(X)[m/s],sat_velocity_i(Y)[m/s],sat_velocity_i(Z)[m/s],sat_velocity_b(X)[m/s],sat_velocity_b(Y)[m/s],sat_velocity_b(Z)[m/s],sat_acc_i_i(X)[m/s^2],sat_acc_i_i(Y)[m/s^2],sat_acc_i_i(Z)[m/s^2],lat[rad],lon[rad],alt[m],mag_i(X)[nT],mag_i(Y)[nT],mag_i(Z)[nT],mag_b(X)[nT],mag_b(Y)[nT],mag_b(Z)[nT],sr_pressure[N/m^2],shadow coefficient,airdensity[kg/m^3],EARTH_pos_b(X)[m],EARTH_pos_b(Y)[m],EARTH_pos_b(Z)[m],EARTH_vel_b(X)[m/s],EARTH_vel_b(Y)[m/s],EARTH_vel_b(Z)[m/s],SUN_pos_b(X)[m],SUN_pos_b(Y)[m],SUN_pos_b(Z)[m],SUN_vel_b(X)[m/s],SUN_vel_b(Y)[m/s],SUN_vel_b(Z)[m/s],MOON_pos_b(X)[m],MOON_pos_b(Y)[m],MOON_pos_b(Z)[m],MOON_vel_b(X)[m/s],MOON_vel_b(Y)[m/s],MOON_vel_b(Z)[m/s],ggtorque_b(X)[Nm],ggtorque_b(Y)[Nm],ggtorque_b(Z)[Nm],srp_torque_b(X)[Nm],srp_torque_b(Y)[Nm],srp_torque_b(Z)[Nm],srp_force_b(X)[N],srp_force_b(Y)[N],srp_force_b(Z)[N],airdrag_torque_b(X)[Nm],airdrag_torque_b(Y)[Nm],airdrag_torque_b(Z)[Nm],airdrag_force_b(X)[N],airdrag_force_b(Y)[N],airdrag_force_b(Z)[N],rmm_b(X)[Am^2],rmm_b(Y)[Am^2],rmm_b(Z)[Am^2],mag_dist_torque_b(X)[Nm],mag_dist_torque_b(Y)[Nm],mag_dist_torque_b(Z)[Nm],acc_thirdbody_i(X)[m/s2],acc_thirdbody_i(Y)[m/s2],acc_thirdbody_i(Z)[m/s2],a_geop_ecef(X)[m/s2],a_geop_ecef(Y)[m/s2],a_geop_ecef(Z)[m/s2],gyro_omega1_c(X)[rad/s],gyro_omega1_c(Y)[rad/s],gyro_omega1_c(Z)[rad/s],gyro_omega2_c(X)[rad/s],gyro_omega2_c(Y)[rad/s],gyro_omega2_c(Z)[rad/s],clock_sensor[sec],
0,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84214e+07,-5.56389e+07,143.728,887.073,356.6,0.05,-0.03,0.01,0,0,0,1,0,-0,0,0.00591608,0.000175,-2111769.772374508,-5360353.225433829,3596181.649781079,4200.434474,-4637.540129,-4429.236126,4200.434474,-4637.540129,-4429.236126,0,0,0,0.560853,5.72264,419453,0,0,0,0,0,0,4.55649e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0,0,0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,
0.1,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84213e+07,-5.56388e+07,143.728,887.073,356.6,0.049749,-0.0298493,0.00995025,0.00249372,-0.00149623,0.000498755,0.999996,-0.000250976,0.000150726,-4.97512e-05,0.00588638,0.000173248,-2111349.632802087,-5360817.036907832,3595738.617453132,4200.703048,-4636.858302,-4429.694813,4182.824812,-4663.106049,-4419.046925,-2.290190025e-06,2.70990982e-06,2.480792054e-06,0.560776,5.72273,419453,7888.41,31655.5,6447,7888.41,31655.5,6447,4.71293e-06,1,2.67144e-12,2.11177e+06,5.36035e+06,-3.59618e+06,-58482.4,-196289,-326942,2.61775e+10,-1.32802e+11,-5.75759e+10,-3.05527e+09,-3.14056e+09,5.85478e+09,4.00794e+08,-3.3061e+07,-5.9235e+07,-2.11172e+06,-6.96417e+06,-1.0366e+07,0,0,0,1.09115e-08,1.00669e-08,-2.09784e-08,-3.04801e-07,1.79304e-06,7.01893e-07,2.1165e-08,6.57871e-07,-6.79036e-07,-3.17579e-05,3.61457e-05,3.40292e-05,0.0399303,0.039961,0.0399803,-1.00797e-06,5.79497e-08,9.48788e-07,-0,-0,-0,0,0,0,0.0514835,-0.03,0.01,0.05,-0.0293734,0.01,0.11,
0.2,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84212e+07,-5.56388e+07,143.728,887.073,356.6,0.0494993,-0.0296993,0.00990074,0.0049749,-0.00298493,0.000995025,0.999983,-0.000249724,0.00014998,-4.95065e-05,0.00585684,0.000171513,-2110929.635387711,-5361280.593654979,3595295.71748848,4200.971461,-4636.176691,-4430.15326,4165.309122,-4688.474893,-4408.736387,-2.287436715e-06,2.713896741e-06,2.479307611e-06,0.560699,5.72282,419452,8059.84,31738.1,6588.31,8110.96,31762.4,6405.77,4.71293e-06,1,2.67146e-12,2.10588e+06,5.3407e+06,-3.62874e+06,-59356.7,-196817,-324134,2.58735e+10,-1.33114e+11,-5.69907e+10,-3.02562e+09,-3.09267e+09,5.84998e+09,4.00582e+08,-3.37581e+07,-6.02669e+07,-2.13886e+06,-6.97856e+06,-1.02729e+07,-2.64873e-23,0,0,1.10178e-08,9.93111e-09,-2.09489e-08,-3.0044e-07,1.79445e-06,6.92671e-07,2.48161e-08,6.55052e-07,-6.79868e-07,-3.15819e-05,3.64049e-05,3.39232e-05,0.0399978,0.0400493,0.0400222,-1.01465e-06,6.84015e-08,9.45587e-07,-0,-0,-0,0,0,0,0.0514835,-0.03,0.01,0.05,-0.0293734,0.01,0.11,
0.3,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84212e+07,-5.56388e+07,143.728,887.073,356.6,0.0492508,-0.0295501,0.00985148,0.00744359,-0.00446612,0.00148882,0.999961,-0.000248471,0.000149233,-4.9264e-05,0.00582744,0.000169795,-2110509.442107749,-5361744.268756464,3594852.593431002,4201.239929,-4635.494746,-4430.611835,4147.887659,-4713.646965,-4398.307625,-2.284694223e-06,2.717885553e-06,2.477844792e-06,0.560621,5.72291,419452,7966.53,31582.8,6559.98,8067.51,31630.3,6197.64,4.71293e-06,1,2.67149e-12,2.0999e+06,5.32099e+06,-3.66101e+06,-60212.9,-197319,-321342,2.55724e+10,-1.33421e+11,-5.6406e+10,-2.99615e+09,-3.04523e+09,5.84475e+09,4.00367e+08,-3.44567e+07,-6.12896e+07,-2.16542e+06,-6.99214e+06,-1.01803e+07,0,0,0,1.11228e-08,9.79628e-09,-2.0919e-08,-2.96132e-07,1.79577e-06,6.83496e-07,2.8464e-08,6.52227e-07,-6.80691e-07,-3.14069e-05,3.66622e-05,3.38158e-05,0.0399663,0.0400118,0.0399129,-1.01448e-06,7.43009e-08,9.4135e-07,-0,-0,-0,0,0,0,0.0514835,-0.03,0.01,0.05,-0.0293734,0.01,0.11,
0.4,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.8421e+07,-5.56387e+07,143.727,887.073,356.6,0.0490036,-0.0294016,0.00980246,0.00989982,-0.00593984,0.00198014,0.999931,-0.000247239,0.000148498,-4.90185e-05,0.00579818,0.000168095,-2110089.391024895,-5362207.689166662,3594409.601792156,4201.508235,-4634.813017,-4431.070169,4130.560235,-4738.623666,-4387.762971,-2.281963026e-06,2.721874857e-06,2.4764046e-06,0.560544,5.723,419451,8033.38,31659.4,6502.81,8183.41,31728,5958.53,4.71293e-06,1,2.67152e-12,2.09384e+06,5.30123e+06,-3.693e+06,-61051.4,-197797,-318565,2.52743e+10,-1.33723e+11,-5.58218e+10,-2.96688e+09,-2.99825e+09,5.83911e+09,4.00149e+08,-3.51565e+07,-6.2303e+07,-2.1914e+06,-7.00493e+06,-1.00882e+07,0,0,-1.32436e-23,1.12263e-08,9.66245e-09,-2.08887e-08,-2.91878e-07,1.79699e-06,6.74367e-07,3.21083e-08,6.49398e-07,-6.81506e-07,-3.12328e-05,3.69178e-05,3.37069e-05,0.0399824,0.0399941,0.0399192,-1.02825e-06,8.8439e-08,9.41274e-07,-0,-0,-0,0,0,0,0.0514835,-0.03,0.01,0.05,-0.0293734,0.01,0.11,
0.5,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84209e+07,-5.56387e+07,143.727,887.073,356.6,0.0487576,-0.0292538,0.00975369,0.0123436,-0.00740609,0.002469,0.999893,-0.000246001,0.000147751,-4.87706e-05,0.00576907,0.000166411,-2109669.144065541,-5362671.227864522,3593966.386034884,4201.776595,-4634.130954,-4431.52863,4113.32707,-4763.405328,-4377.105476,-2.279243235e-06,2.725864018e-06,2.474987427e-06,0.560467,5.72309,419450,7932.03,31619.8,6661.35,8132.29,31712.7,5938.9,4.71293e-06,1,2.67154e-12,2.08769e+06,5.28143e+06,-3.72472e+06,-61872.2,-198251,-315803,2.4979e+10,-1.3402e+11,-5.52381e+10,-2.93779e+09,-2.95171e+09,5.83306e+09,3.99928e+08,-3.58576e+07,-6.33072e+07,-2.2168e+06,-7.01693e+06,-9.99664e+06,0,0,0,1.13284e-08,9.52962e-09,-2.0858e-08,-2.87675e-07,1.79812e-06,6.65286e-07,3.57484e-08,6.46563e-07,-6.82311e-07,-3.10596e-05,3.71715e-05,3.35967e-05,0.0400611,0.0400319,0.0399693,-1.02979e-06,8.71233e-08,9.44895e-07,-0,-0,-0,0,0,0,0.0514835,-0.03,0.01,0.05,-0.0293734,0.01,0.11,
0.6,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84209e+07,-5.56386e+07,143.727,887.073,356.6,0.0485128,-0.0291068,0.00970516,0.0147751,-0.00886492,0.00295541,0.999847,-0.000244779,0.000147023,-4.85326e-05,0.00574011,0.000164744,-2109249.039328776,-5363134.511921652,3593523.302737266,4202.044795,-4633.449107,-4431.986851,4096.187948,-4787.993374,-4366.337398,-2.276535314e-06,2.729851656e-06,2.473594213e-06,0.56039,5.72318,419450,7960.74,31623.7,6587.71,8208.1,31735.3,5685.79,4.71293e-06,1,2.67157e-12,2.08146e+06,5.26159e+06,-3.75617e+06,-62675.6,-198680,-313056,2.46867e+10,-1.34313e+11,-5.46552e+10,-2.90889e+09,-2.90563e+09,5.82661e+09,3.99706e+08,-3.65599e+07,-6.43024e+07,-2.24164e+06,-7.02817e+06,-9.90562e+06,0,0,0,1.14291e-08,9.39779e-09,-2.08268e-08,-2.83525e-07,1.79916e-06,6.56253e-07,3.9384e-08,6.43724e-07,-6.83108e-07,-3.08874e-05,3.74234e-05,3.3485e-05,0.0399656,0.040032,0.0399867,-1.04138e-06,1.00979e-07,9.39735e-07,-0,-0,-0,0,0,0,0.0514835,-0.03,0.01,0.05,-0.0293734,0.01,0.11,
0.7,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84208e+07,-5.56386e+07,143.727,887.073,356.6,0.0482693,-0.0289605,0.00965687,0.0171942,-0.0103163,0.00343937,0.999793,-0.000243558,0.00014629,-4.82893e-05,0.00571129,0.000163094,-2108828.738708,-5363597.914196024,3593079.995299222,4202.313049,-4632.766926,-4432.4452,4079.143066,-4812.388158,-4355.461727,-2.273839368e-06,2.733837159e-06,2.472225285e-06,0.560313,5.72327,419449,7944.34,31636.5,6673.45,8240.52,31769.9,5592.97,4.71293e-06,1,2.6716e-12,2.07515e+06,5.2417e+06,-3.78733e+06,-63461.8,-199086,-310324,2.43972e+10,-1.34601e+11,-5.40728e+10,-2.88018e+09,-2.86e+09,5.81977e+09,3.9948e+08,-3.72632e+07,-6.52884e+07,-2.26592e+06,-7.03865e+06,-9.81513e+06,0,0,0,1.15283e-08,9.26696e-09,-2.07953e-08,-2.79427e-07,1.8001e-06,6.47269e-07,4.30146e-08,6.40881e-07,-6.83895e-07,-3.0716e-05,3.76735e-05,3.3372e-05,0.0400001,0.0400049,0.0400435,-1.04843e-06,1.06259e-07,9.41137e-07,-0,-0,-0,0,0,0,0.0514835,-0.03,0.01,0.05,-0.0293734,0.01,0.11,
0.8,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84207e+07,-5.56386e+07,143.726,887.073,356.6,0.0480269,-0.0288149,0.00960882,0.019601,-0.0117604,0.0039209,0.999731,-0.000242349,0.000145569,-4.8047e-05,0.00568262,0.000161461,-2108408.580345475,-5364061.061869013,3592636.820372578,4202.581141,-4632.08496,-4432.903308,4062.192181,-4836.59112,-4344.480646,-2.271155845e-06,2.737819167e-06,2.470881523e-06,0.560235,5.72336,419449,7983.46,31735,6586.37,8325.21,31883.7,5323.99,4.71293e-06,1,2.67163e-12,2.06877e+06,5.22177e+06,-3.81823e+06,-64231,-199469,-307608,2.41107e+10,-1.34885e+11,-5.34912e+10,-2.85167e+09,-2.81481e+09,5.81256e+09,3.99252e+08,-3.79676e+07,-6.62654e+07,-2.28965e+06,-7.04839e+06,-9.72518e+06,2.64872e-23,-1.32436e-23,1.32436e-23,1.16262e-08,9.13714e-09,-2.07634e-08,-2.75379e-07,1.80096e-06,6.38335e-07,4.66397e-08,6.38034e-07,-6.84674e-07,-3.05456e-05,3.79218e-05,3.32578e-05,0.0400164,0.0400058,0.0399506,-1.06078e-06,1.1955e-07,9.42815e-07,-0,-0,-0,0,0,0,0.0514835,-0.03,0.01,0.05,-0.0293734,0.01,0.11,
0.9,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84206e+07,-5.56385e+07,143.726,887.073,356.6,0.0477858,-0.0286701,0.00956101,0.0219956,-0.0131971,0.0044,0.999661,-0.000241139,0.000144847,-4.78134e-05,0.00565408,0.000159843,-2107988.226081239,-5364524.327700046,3592193.421272765,4202.849288,-4631.402662,-4433.361544,4045.335464,-4860.60264,-4333.397084,-2.268484838e-06,2.741797088e-06,2.469563191e-06,0.560158,5.72345,419448,7935.58,31610.1,6562.5,8321.7,31775.6,5128.5,4.71293e-06,1,2.67165e-12,2.06231e+06,5.2018e+06,-3.84886e+06,-64983.4,-199829,-304907,2.38269e+10,-1.35164e+11,-5.29103e+10,-2.82334e+09,-2.77006e+09,5.80497e+09,3.99022e+08,-3.86729e+07,-6.72335e+07,-2.31283e+06,-7.05741e+06,-9.63577e+06,0,0,0,1.17228e-08,9.00833e-09,-2.07311e-08,-2.71383e-07,1.80173e-06,6.29451e-07,5.02589e-08,6.35184e-07,-6.85443e-07,-3.03761e-05,3.81682e-05,3.31423e-05,0.0399649,0.0400255,0.0400307,-1.06673e-06,1.28164e-07,9.36827e-07,-0,-0,-0,0,0,0,0.0514835,-0.03,0.01,0.05,-0.0293734,0.01,0.11,
